No,City,State,Type,Population,Population class
250,Madanapalle,Andhra Pradesh,Municipality,pop,Class I
251,Malerkotla,Punjab,Municipal Council,pop,Class I
252,Lalitpur,Uttar Pradesh,Nagar Palika Parishad,pop,Class I
253,Bettiah,Bihar,Nagar Panchayat,pop,Class I
254,Pollachi,Tamil Nadu,Urban Agglomeration,pop,
255,Khanna,Punjab,Municipal Council,pop,Class I
256,Neemuch,Madhya Pradesh,Municipality,pop,Class I
257,Palwal,Haryana,Municipal Council,pop,Class I
258,Palanpur,Gujarat,Municipality,pop,Class I
259,Guntakal,Andhra Pradesh,Municipality,pop,Class I
260,Nabadwip,West Bengal,Municipality,pop,Class I
261,Udupi,Karnataka,City Municipal Council.,pop,Class I
262,Jagdalpur,Chhattisgarh,Municipal Corporation / Corporation,pop,Class I
263,Motihari,Bihar,Nagar Panchayat,pop,Class I
264,Pilibhit,Uttar Pradesh,Municipal board,pop,
265,Dimapur,Nagaland,Municipal Committee,pop,Class I
266,Mohali,Punjab,Municipal Council,pop,
267,Sadulpur,Rajasthan,Municipality,pop,
268,Rajapalayam,Tamil Nadu,Municipality,pop,
269,Dharmavaram,Andhra Pradesh,Municipality,pop,Class I
270,Kashipur,Uttarakhand,Nagar Palika Parishad.,pop,Class I
271,Sivakasi,Tamil Nadu,Urban Agglomeration,pop,
272,Darjiling,West Bengal,Municipality,pop,Class I
273,Chikkamagaluru,Karnataka,City Municipal Council,pop,Class I
274,Gudivada,Andhra Pradesh,Municipality,pop,Class I
275,Baleshwar Town,Odisha,Municipality,pop,Class I
276,Mancherial,Telangana,Urban Agglomeration,pop,
277,Srikakulam,Andhra Pradesh,Urban Agglomeration,pop,
278,Adilabad,Telangana,Municipality,pop,Class I
279,Yavatmal,Maharashtra,Municipal Council,pop,Class I
280,Barnala,Punjab,Municipal Council,pop,Class I
281,Nagaon,Assam,Municipal board,pop,Class I
282,Narasaraopet,Andhra Pradesh,Municipality,pop,Class I
283,Raigarh,Chhattisgarh,Urban Agglomeration,pop,
284,Roorkee,Uttarakhand,Urban Agglomeration,pop,
285,Valsad,Gujarat,Municipality,pop,Class I
286,Ambikapur,Chhattisgarh,Municipal Corporation / Corporation.,pop,Class I
287,Giridih,Jharkhand,Town Panchayat,pop,Class I
288,Chandausi,Uttar Pradesh,Nagar Palika Parishad,pop,Class I
289,Purulia,West Bengal,Municipality,pop,
290,Patan,Gujarat,Urban Agglomeration,pop,
291,Bagaha,Bihar,Nagar Panchayat,pop,Class I
292,Hardoi ,Uttar Pradesh,Municipality,pop,Class II
293,Achalpur,Maharashtra,Municipal Council,pop,Class I
294,Osmanabad,Maharashtra,Municipal Council,pop,Class I
295,Deesa,Gujarat,,pop,Class I
296,Nandurbar,Maharashtra,Municipal Council,pop,Class I
297,Azamgarh,Uttar Pradesh,P.,pop,Class I
298,Ramgarh,Jharkhand,Urban Agglomeration,pop,
299,Firozpur,Punjab,Municipal Council,pop,Class I
300,Baripada Town,Odisha,Municipality,pop,Class I
301,Karwar,Karnataka,City Municipal Council,pop,Class I
302,Siwan,Bihar,Municipality,pop,
303,Rajampet,Andhra Pradesh,Municipality,pop,
304,Pudukkottai,Tamil Nadu,Municipality,pop,
305,Anantnag,Jammu and Kashmir,Municipal Council,pop,Class I
306,Tadpatri,Andhra Pradesh,Municipality,pop,Class I
307,Satara,Maharashtra,Municipal Council,pop,
308,Bhadrak,Odisha,Municipality,pop,Class I
309,Kishanganj,Bihar,Nagar Panchayat,pop,Class I
310,Suryapet,Telangana,Urban Agglomeration,pop,
311,Wardha,Maharashtra,Municipal Council,pop,Class I
312,Ranebennuru,Karnataka,City Municipal Council,pop,
313,Amreli,Gujarat,Municipality,pop,Class I
314,Neyveli (TS),Tamil Nadu,Census town,pop,Class I
315,Jamalpur,Bihar,Nagar Panchayat,pop,Class I
316,Marmagao,Goa,Urban Agglomeration,pop,
317,Udgir,Maharashtra,Municipal Council,pop,Class I
318,Tadepalligudem,Andhra Pradesh,Municipality,pop,Class I
319,Nagapattinam,Tamil Nadu,Municipality,pop,Class I
320,Buxar,Bihar,Nagar Panchayat,pop,Class I
321,Aurangabad,Maharashtra,Municipal Corporation / Corporation.,pop,Class I
322,Jehanabad,Bihar,Nagar Panchayat,pop,Class I
323,Phagwara,Punjab,Urban Agglomeration,pop,
324,Khair,Uttar Pradesh,Nagar Palika Parishad,pop,Class II
325,Sawai Madhopur,Rajasthan,Urban Agglomeration,pop,
326,Kapurthala,Punjab,Municipal Council,pop,Class I
327,Chilakaluripet,Andhra Pradesh,Municipality,pop,Class I
328,Aurangabad,Bihar,Nagar Panchayat.,pop,Class I
329,Malappuram,Kerala,Municipality,pop,Class I
330,Rewari,Haryana,Municipal Council,pop,
331,Nagaur,Rajasthan,Municipality,pop,Class I
332,Sultanpur,Uttar Pradesh,Municipal board,pop,
333,Nagda,Madhya Pradesh,Municipality,pop,Class I
334,Port Blair,Andaman and Nicobar Islands,Municipal Council,pop,
